dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
784c582f-921f-4c01-9f46-6617fb40a721,"Village Amenities for Siddharthnagar District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-30,2022-05-10,"Village Amenities for Siddharthnagar District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/784c582f-921f-4c01-9f46-6617fb40a721
a73fd9f9-6553-4b72-bebd-92d8e00e29c1,"Village Amenities for Rampur District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-16,2022-05-10,"Village Amenities for Rampur District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/a73fd9f9-6553-4b72-bebd-92d8e00e29c1
66c4c34c-6c2c-4eb2-a1e5-651e5a459516,"Village Amenities for Sultanpur District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-29,2022-05-10,"Village Amenities for Sultanpur District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/66c4c34c-6c2c-4eb2-a1e5-651e5a459516
8999eda7-0860-49b4-8676-45839f1c03e8,"Village Amenities for Mau District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-29,2022-05-10,"Village Amenities for Mau District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/8999eda7-0860-49b4-8676-45839f1c03e8
0c64642c-f1da-4155-bf5d-29f1d5720977,"Village Amenities for Baghpat District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-26,2022-05-10,"Village Amenities for Baghpat District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/0c64642c-f1da-4155-bf5d-29f1d5720977
db82a878-058f-4d46-91aa-e22a03d6ea83,"Village Amenities for Meerut District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-29,2022-05-10,"Village Amenities for Meerut District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/db82a878-058f-4d46-91aa-e22a03d6ea83
7e56b9b8-5f3f-4972-b2e5-18985da08bd8,"Village Amenities for Muzaffarnagar District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-26,2022-05-10,"Village Amenities for Muzaffarnagar District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/7e56b9b8-5f3f-4972-b2e5-18985da08bd8
b4d3a296-32b9-4946-96f9-8e5f5e80affc,"Village Amenities for Fatehpur District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-26,2022-05-10,"Village Amenities for Fatehpur District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/b4d3a296-32b9-4946-96f9-8e5f5e80affc
520c4f1e-2c72-4806-8f7a-98ee8037602f,"Village Amenities for Farrukhabad District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-30,2022-05-10,"Village Amenities for Farrukhabad District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/520c4f1e-2c72-4806-8f7a-98ee8037602f
60b61970-2da6-485f-89bd-89981630370a,"Village Amenities for Shahjahanpur District of Uttar Pradesh, 2011","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,398,2021-03-30,2022-05-10,"Village Amenities for Shahjahanpur District of Uttar Pradesh, 2011",https://www.data.gov.in/resource/60b61970-2da6-485f-89bd-89981630370a
e497966d-929e-4bb2-97a4-282ae1d6407f,"Final Population Totals for Aligarh District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Aligarh District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/e497966d-929e-4bb2-97a4-282ae1d6407f
2438d3a7-3add-4580-8ebe-a332d594371b,"Final Population Totals for Deoria District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Deoria District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/2438d3a7-3add-4580-8ebe-a332d594371b
0a05ae8e-15b8-48f2-8673-7becee7010ea,"Final Population Totals for Lucknow District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Lucknow District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/0a05ae8e-15b8-48f2-8673-7becee7010ea
043df97b-08dd-404d-8740-8fa4e46e1d8e,"Final Population Totals for Ghaziabad District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Ghaziabad District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/043df97b-08dd-404d-8740-8fa4e46e1d8e
2a70c315-21a7-4543-87ae-e015a55d0f8c,"Final Population Totals for Sitapur District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Sitapur District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/2a70c315-21a7-4543-87ae-e015a55d0f8c
1c0864bd-fcbb-4a34-ae0d-cbdf755d4347,"Final Population Totals for Banda District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Banda District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/1c0864bd-fcbb-4a34-ae0d-cbdf755d4347
